exec_date,id,side,price,size,buy_child_order_acceptance_id,sell_child_order_acceptance_id
2019-02-04T03:00:40.827,785251015,BUY,369433,0.057418830000000004,JRF20190204-030040-389163,JRF20190204-030035-747079
2019-02-04T03:00:40.86,785251017,BUY,369433,0.07,JRF20190204-030040-671975,JRF20190204-030035-747079
2019-02-04T03:00:41.017,785251020,BUY,369434,0.09626603,JRF20190204-030040-125436,JRF20190204-030019-017237
2019-02-04T03:00:41.017,785251019,BUY,369433,0.1,JRF20190204-030040-125436,JRF20190204-030039-671963
2019-02-04T03:00:41.017,785251018,BUY,369433,0.043733970000000004,JRF20190204-030040-125436,JRF20190204-030035-747079
2019-02-04T03:00:41.047,785251021,BUY,369434,0.604,JRF20190204-030040-747131,JRF20190204-030019-017237
2019-02-04T03:00:41.093,785251022,BUY,369434,0.17768699999999998,JRF20190204-030040-705068,JRF20190204-030019-017237
2019-02-04T03:00:41.14,785251023,BUY,369434,0.47000000000000003,JRF20190204-030040-747132,JRF20190204-030019-017237
2019-02-04T03:00:41.157,785251024,BUY,369434,0.01,JRF20190204-030041-024930,JRF20190204-030019-017237
2019-02-04T03:00:41.233,785251025,BUY,369434,0.64,JRF20190204-030041-640276,JRF20190204-030019-017237
2019-02-04T03:00:41.313,785251026,BUY,369434,0.01,JRF20190204-030041-297620,JRF20190204-030019-017237
2019-02-04T03:00:41.327,785251027,BUY,369434,0.01,JRF20190204-030041-705069,JRF20190204-030019-017237
2019-02-04T03:00:41.547,785251028,SELL,369433,0.03,JRF20190204-030041-097800,JRF20190204-030041-024933
2019-02-04T03:00:41.563,785251029,SELL,369433,0.036000000000000004,JRF20190204-030041-097800,JRF20190204-030041-297625
2019-02-04T03:00:41.657,785251030,BUY,369434,0.35000000000000003,JRF20190204-030041-297627,JRF20190204-030019-017237
2019-02-04T03:00:41.687,785251031,BUY,369434,0.01,JRF20190204-030041-125443,JRF20190204-030019-017237
2019-02-04T03:00:41.75,785251032,SELL,369433,0.06,JRF20190204-030041-097800,JRF20190204-030041-747143
